sampling_id,region,sampling_rank,zone,spot_name,spot_longitude,spot_latitude,sampling_date,way_point,gps_device,precision,sampling_start,sampling_end,sampling_method,weather,wind_speed,wave_height,water_temperature,visibility_horizontal,current_speed,depth_min,depth_max,habitat_type,pictures_habitat,videos_habitat,sampling_area,tasks_done,notes
G114,G,114,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-04,NA,Google_maps,20m,09:00,16:00,gillnet_speargun_snorkeling,windy_sunny,unknown,unknown,NA,> 10,unknown,0.5,2,rocks_sand_seagrasses,yes,yes,100_x_50,water_excretion_fishes_sediment_macrophytes,
G115,G,115,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-04,NA,Google_maps,20m,20:20,00:00,hand_net_slingshot,night_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,100_x_50,fishes,
G116,G,116,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-05,NA,Google_maps,20m,NA,NA,gillnet_fisherman,windy_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,NA,fishes_caught_probably_in_the_night_because_not_really_fresh,fisherman_Heraklion_caught_in_Kokkini_Hani
G117,G,117,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-07,NA,Google_maps,20m,07:30,19:30,speargun_gillnet,sunny_waves,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,videos_fish,
G118,G,118,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-07,NA,Google_maps,20m,NA,20:00,gillnet,NA,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish,
G119,G,119,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-08,NA,Google_maps,20m,07:30,20:00,snorkeling_gillnet,sunny,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish_water_sediment_macrophytes_videos,
G120,G,120,Hersonissos,Hersonissos,E 25.386977,N 35.330012,2019-10-08,NA,Google_maps,20m,11:00,20:00,scuba_diving_gillnet,sunny,unknown,unknown,25,NA,NA,NA,4.5,rocks_sand_seagrasses,yes,yes,100_x_50,fish_gillnet,
G121,G,121,Psaromoura,Psaromoura,E 25.019226,N 35.413666,2019-10-09,NA,Google_maps,20m,10:30,20:30,snorkeling_gillnet,sunny,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,yes,yes,100_x_50,fish_water_sediment_macrophytes,
G122,G,122,Kokkini_Hani,Kokkini_Hani,E 25.253880,N 35.332325,2019-10-09,NA,Google_maps,20m,NA,11:30,gillnet_fisherman_Thanos,night,unknown,unknown,NA,NA,NA,NA,NA,rocks_sand_seagrasses,no,no,NA,fish,rain_between_07_and_08_october ; fishes_caught_during_the_night_by_fisherman
F123,F,123,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-10-29,NA,Google_maps,10m,10:50,11:15,snorkeling_gillnet,sunny,unknown,unknown,18,1m,NA,NA,NA,"rocks, sand",no,no,30_x_6,sarpa_salpa_juveniles_water_sediment_macrophyte,
F124,F,124,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2019-11-19,NA,Google_maps,10m,10:00,11:10,snorkeling_gillnet,sunny_cold_water,unknown,unknown,11,NA,NA,1,2.20,"rocks, sand",yes,no,30_x_6,sarpa_salpa_juveniles_water_sediment_macrophyte,
F125,F,125,Carnon_Palavas,Palavas,NA,NA,2019-11-25,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,
F126,F,126,Carnon_Palavas,Palavas,NA,NA,2019-11-26,NA,NA,NA,NA,NA,gillnet_fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish,heavy_rain_4_days_before_sampling
F127,F,124,Frontignan_Aresquiers,Frontignan,E 3.769500,N 43.429550,2020-07-07,NA,Google_maps,10m,09:45,12:00,snorkeling_gillnet,sunny,20,10,19,5m,<0.5,1,2,"rocks, sand",no,no,100_x_6,sarpa_salpa,"beach has been refilled with sand, depth beyond jetty is now 2m"
